Year|Month|Day|Time|End Year|End Month|End Day|End Time|Display Date|Headline|Text|Media|Media Credit|Media Caption|Media Thumbnail|Alt Text|Type|Group|Background
1798 | | | | 1799 | | | | 1798-1799 | Chuar Uprising | <h3>Event Summary</h3><p>A major tribal uprising led by Durjan Singh against British policies in the Jungle Mahals region.</p><h4>Key Details</h4><ul><li>Part of a series of Chuar rebellions that began in 1768</li><li>In May 1798, 1,500 Chuars attacked the Raipur auction</li><li>The British brutally suppressed the revolt by 1799</li></ul> | | | | | | | Tribal Revolts |
1798 | | | | | | | | | Tamar Revolt | <h3>Event Summary</h3><p>A rebellion led by Bholanath Sahay/Singh with Munda tribals against British systems in Chotanagpur.</p><h4>Key Details</h4><ul><li>Reaction to faulty and alien systems imposed by the British</li><li>Expressed anger against dikus (outsiders)</li><li>Firmly suppressed by an expedition led by Lt. Cooper</li><li>Led to several more revolts in the region</li></ul> | | | | | | | Tribal Revolts |
1799 | | | | | | | | | Civil Rebellion in Awadh | <h3>Event Summary</h3><p>A rebellion led by Wazir Ali Khan, the fourth Nawab of Awadh, after being replaced by his uncle.</p><h4>Key Details</h4><ul><li>Triggered by souring relations with the British after being replaced by his uncle Saadat Ali Khan II</li><li>Killed British resident George Frederick Cherry and others in the "Massacre of Benares"</li><li>Assembled an army but was defeated by General Erskine</li><li>Fled to Butwal in Nepal, then received asylum in Jaipur before being extradited</li><li>Was confined at Fort William, Calcutta</li></ul> | | | | | | | Revolutionary Activities |
1799 | | | | 1800 | | | | 1799-1800 | Revolt of Dhundia in Bednur | <h3>Event Summary</h3><p>A rebellion led by Dhundia Wagh, a Maratha leader who converted to Islam, against British rule after the Mysore conquest.</p><h4>Key Details</h4><ul><li>Organized an anti-British force</li><li>Carved out a small territory</li><li>Was killed while fighting British forces under Wellesley</li></ul> | | | | | | | Revolutionary Activities |
1800 | | | | 1805 | | | | 1800-1805 | Second Phase of Kerala Varma Pazhassi Raja's Resistance | <h3>Event Summary</h3><p>The final phase of resistance by Kerala Varma Pazhassi Raja against British rule in Kerala.</p><h4>Key Details</h4><ul><li>Conducted guerrilla warfare against the British</li><li>Organized Nairs, Mappillas and Pathans in his resistance</li><li>Was killed in 1805</li></ul> | | | | | | | Revolutionary Activities |
1800 | | | | | | | | | Uprisings in Ganjam and Gumsur (First Phase) | <h3>Event Summary</h3><p>Initial rebellion in the Northern Circars region against British revenue policies.</p><h4>Key Details</h4><ul><li>Led by Srikara Bhanj</li><li>Triggered by refusal to pay revenues and oppressive British collectors</li></ul> | | | | | | | Revolutionary Activities |
1800 | | | | 1802 | | | | 1800-1802 | Uprisings in Palamau | <h3>Event Summary</h3><p>A rebellion led by Bhukhan Singh, a Chero chief, against British rule in Palamau and Sarguja.</p><h4>Key Details</h4><ul><li>Caused by crises of agrarian landlordism and breakdown of the feudal system</li><li>Colonel Jones camped for two years to suppress the rebellion</li><li>Bhukhan died in 1802</li><li>The insurrection calmed after the leader's death</li></ul> | | | | | | | Revolutionary Activities |
1803 | | | | 1886 | | | | 1803-1886 | Koya Revolts | <h3>Event Summary</h3><p>A series of rebellions by the Koya tribe against British rule and exploitation in the Eastern Godavari tract.</p><h4>Key Details</h4><ul><li>Led by various leaders including Tomma Sora (1879-80) and Raja Anantayyar (1886)</li><li>Caused by oppression by police and moneylenders, new regulations, and denial of customary rights over forest areas</li><li>Multiple rebellions occurred in 1803, 1840, 1845, 1858, 1861, 1862, 1879-80, and 1886</li><li>Khonda Sara chiefs joined in earlier revolts</li></ul> | | | | | | | Tribal Revolts |
1803 | | | | 1810 | | | | 1803-1810 | Uprisings in Haryana Region | <h3>Event Summary</h3><p>Resistance against British East India Company rule in the Haryana region after the Treaty of Surji Anjangaon.</p><h4>Key Details</h4><ul><li>Led by Zabita Khan of Sirsa, Rania and Khan Bahadur Khan of Fatehabad</li><li>Bhatti Rajputs and Muslims organized resistance</li><li>British sent a contingent under Col. Adams in November 1809</li><li>British were victorious and converted the Fort of Hansi into a military cantonment</li></ul> | | | | | | | Revolutionary Activities |
1808 | | | | 1809 | | | | 1808-1809 | Diwan Velu Thampi's Revolt | <h3>Event Summary</h3><p>A rebellion led by Velu Thampi, Prime Minister of Travancore, against British economic demands.</p><h4>Key Details</h4><ul><li>Triggered by harsh conditions imposed by East India Company and excessive subsidy demands</li><li>Issued the "Kundara Proclamation" calling for arms against the British</li><li>The Maharaja of Travancore didn't fully support the revolt and defected to the company</li><li>Velu Thampi killed himself to avoid capture</li></ul> | | | | | | | Revolutionary Activities |
1808 | | | | 1812 | | | | 1808-1812 | Disturbances in Bundelkhand | <h3>Event Summary</h3><p>Widespread resistance to British rule in Bundelkhand province after the Anglo-Maratha Wars.</p><h4>Key Details</h4><ul><li>Led by Lakshaman Dawa of Ajaygarh Fort and Gopal Singh</li><li>150 forts resisted British authority</li><li>Lakshaman Dawa surrendered in 1809</li><li>Gopal Singh fought for four years</li><li>British adopted the ikrarnama policy to bind hereditary chieftains</li></ul> | | | | | | | Revolutionary Activities |
1810 | | | | 1816 | | | | 1810-1816 | Urban Tax Protests | <h3>Event Summary</h3><p>A series of protests against British taxation that united lower classes with the gentry in urban areas.</p><h4>Key Details</h4><ul><li>Occurred across various urban centers in India</li><li>Represented a unique alliance between different social classes against British economic policies</li></ul> | | | | | | | Revolutionary Activities |
1813 | | | | 1834 | | | | 1813-1834 | Parlakimedi Outbreak | <h3>Event Summary</h3><p>A series of revolts against British acquisition of territories in Western Ganjam (now in Odisha).</p><h4>Key Details</h4><ul><li>Led by Narayan Deo, Gajapathi Deo, and Jagannath Deo</li><li>Resistance came from zamindars and rajas against Company acquisition</li><li>Multiple revolts occurred over two decades</li><li>George Russell was appointed commissioner with full powers</li><li>The region was finally pacified by 1834</li></ul> | | | | | | | Revolutionary Activities |
1816 | | | | 1832 | | | | 1816-1832 | Kutch Rebellion | <h3>Event Summary</h3><p>A prolonged resistance against British interference in local governance in Kutch.</p><h4>Key Details</h4><ul><li>Initially led by Raja Bharmal II, later by various chieftains</li><li>Raja raised Arab and African troops to remove the British</li><li>British defeated and deposed him, installing his infant son with a British resident</li><li>Administrative innovations and land assessment caused resentment</li><li>The Burma War emboldened chiefs to resist</li><li>British eventually adopted a conciliatory policy</li></ul> | | | | | | | Revolutionary Activities |
1816 | | | | | | | | | Rising at Bareilly | <h3>Event Summary</h3><p>A religious and economic protest against British taxation that turned violent in Bareilly.</p><h4>Key Details</h4><ul><li>Led by Mufti Muhammad Aiwaz</li><li>Triggered by police tax imposition and religious grievances</li><li>Mufti petitioned the magistrate against the tax</li><li>A woman was injured during tax collection, leading to a bloody scuffle</li><li>Muslims from multiple towns joined the rebellion</li><li>Insurgents murdered a judge's son</li><li>Over 300 rebels were killed</li><li>British concluded the discontent was more about alien administration than specific grievances</li></ul> | | | | | | | Revolutionary Activities |
1817 | | | | | | | | | Upsurge in Hathras | <h3>Event Summary</h3><p>A rebellion led by talukdar Dayaram against high British revenue demands in Aligarh district.</p><h4>Key Details</h4><ul><li>Triggered by increasing high revenues and failure to pay arrears</li><li>Dayaram fortified himself in Hathras fort (called "second Bharatpur")</li><li>Fought the British for 15 days</li><li>Eventually captured and settled with a pension</li><li>Another rebel, Bhagwant Singh, also submitted</li></ul> | | | | | | | Revolutionary Activities |
1817 | | | | | | | | | Paika Rebellion | <h3>Event Summary</h3><p>A significant uprising against British rule in Odisha led by Bakshi Jagabandhu Bidyadhar.</p><h4>Key Details</h4><ul><li>Caused by loss of traditional land tenures, extortionist revenue policy, salt taxes, and cowrie currency abolition</li><li>Jagabandhu led Paikas and zamindars</li><li>Forced the Company to retreat initially</li><li>Rebellion spread across Odisha</li><li>Brutally repressed by 1818</li><li>Jagabandhu surrendered in 1825</li><li>Achieved concessions including arrears remission and fixed tenures</li></ul> | | | | | | | Revolutionary Activities |
1817 | | | | 1846 | | | | 1817-1846 | Bhil Revolts | <h3>Event Summary</h3><p>A series of tribal uprisings by the Bhil people against British rule in Western India.</p><h4>Key Details</h4><ul><li>Occurred in the Western Ghats and mountain passes between north and Deccan</li><li>Caused by famine, economic distress, and misgovernment</li><li>Multiple rebellions took place in 1817-19, 1825, 1831, and 1846</li><li>British used both force and conciliatory efforts</li><li>By 1913, Bhils organized themselves to fight for a Bhil Raj under Govind Guru</li></ul> | | | | | | | Tribal Revolts |
1818 | | | | 1820 | | | | 1818-1820 | Waghera Rising | <h3>Event Summary</h3><p>A rebellion by Waghera chiefs against British rule and the Gaekwad of Baroda.</p><h4>Key Details</h4><ul><li>Led by Waghera chiefs of Okha Mandal</li><li>Caused by resentment against alien rule and reactions against the Gaekwad of Baroda</li><li>Wagheras raided British territory</li><li>A peace treaty was signed in November 1820</li></ul> | | | | | | | Revolutionary Activities |
1820 | | | | 1837 | | | | 1820-1837 | Ho and Munda Uprisings | <h3>Event Summary</h3><p>A series of tribal revolts against British rule and land policies in Singhbhum (now in Jharkhand).</p><h4>Key Details</h4><ul><li>Led by the Raja of Parahat who organized Ho tribals</li><li>Caused by occupation of tribal lands, newly introduced farming revenue policy, and entry of Bengalis into their region</li><li>1820-27: Continuous revolt until Ho tribals were forced to submit</li><li>1831: Second rebellion with Mundas of Chotanagpur</li><li>Revolt was extinguished but operations continued till 1837</li></ul> | | | | | | | Tribal Revolts |
1822 | | | | 1841 | | | | 1822-1841 | Ramosi Risings | <h3>Event Summary</h3><p>A series of rebellions by the Ramosi people against British rule in the Western Ghats and Maratha territories.</p><h4>Key Details</h4><ul><li>Led by various leaders including Chittur Singh (1822), Umaji Naik and Bapu Trimbakji Sawant (1825-26), and Raja Pratap Singh of Satara (1839)</li><li>Caused by loss of livelihood after annexation of Maratha territories</li><li>1822: Rose under Chittur Singh, plundered country around Satara</li><li>1825-26: Eruptions led by Umaji Naik</li><li>1839: Deposition of Raja Pratap Singh triggered revolt</li><li>1840-41: Further disturbances suppressed by British</li></ul> | | | | | | | Revolutionary Activities |
1825 | | | | 1835 | | | | 1825-1835 | Pagal Panthis Movement | <h3>Event Summary</h3><p>A peasant movement with religious overtones led by Tipu (son of Karam Shah) in the Mymensingh district.</p><h4>Key Details</h4><ul><li>Aimed to fight oppression of zamindars and limit rent payments</li><li>From 1825-1835, followers refused rent above a certain limit</li><li>Government initially introduced an equitable arrangement</li><li>Later violently suppressed the movement</li></ul> | | | | | | | Revolutionary Activities |
1828 | | | | | | | | | Ahom Revolt | <h3>Event Summary</h3><p>A rebellion against British attempts to incorporate Ahom territories after the First Burma War.</p><h4>Key Details</h4><ul><li>Led by Gomdhar Konwar (Ahom prince) with support from compatriots Dhanjay Borgohain and Jairam Khargharia Phukan</li><li>Company eventually adopted a conciliatory policy</li><li>Upper Assam was restored to the Assamese king</li></ul> | | | | | | | Revolutionary Activities |
1829 | | | | 1848 | | | | 1829-1848 | Koli Risings | <h3>Event Summary</h3><p>A series of tribal uprisings against British rule in the neighborhood of the Bhils.</p><h4>Key Details</h4><ul><li>Caused by imposition of Company rule, large-scale unemployment, and dismantling of forts</li><li>Rebellions occurred in 1829, 1839, and 1844-48</li><li>Multiple uprisings took place over two decades</li></ul> | | | | | | | Tribal Revolts |
1831 | | | | | | | | | Kol Mutiny | <h3>Event Summary</h3><p>A tribal uprising led by Buddho Bhagat against land transfers to outsiders in Chhotanagpur.</p><h4>Key Details</h4><ul><li>Caused by large-scale land transfers from Kol headmen to outsiders (Hindu, Sikh, Muslim farmers and moneylenders)</li><li>Also triggered by oppressive taxation and British judicial and revenue policies</li><li>In 1831, Kol rebels killed or burnt about a thousand outsiders</li><li>Suppressed only after large-scale military operations</li></ul> | | | | | | | Tribal Revolts |
1832 | | | | 1833 | | | | 1832-1833 | Creation of Damin-i-koh | <h3>Event Summary</h3><p>British creation of a designated area for Santhals, displacing Paharias to higher hills.</p><h4>Key Details</h4><ul><li>The British created Damin-i-koh in the Rajmahal foothills for Santhal settlement</li><li>This forced the Paharias to move to higher hills</li><li>This action would later contribute to the Santhal Rebellion of 1855-56</li></ul> | | | | | | | British |
1835 | | | | 1837 | | | | 1835-1837 | Second Phase of Uprisings in Ganjam and Gumsur | <h3>Event Summary</h3><p>The final phase of rebellions in the Ganjam district against British rule.</p><h4>Key Details</h4><ul><li>Led by Dhananjay Bhanj (son of Srikara) and Doora Bisayi</li><li>Dhananjay died in December 1835</li><li>His followers continued until February 1837</li><li>Doora Bisayi was arrested</li><li>The Gumsur zamindari was forfeited</li></ul> | | | | | | | Revolutionary Activities |
1837 | | | | 1856 | | | | 1837-1856 | Khond Uprisings | <h3>Event Summary</h3><p>A tribal rebellion led by Chakra Bisoi against British interference in tribal customs and new taxation.</p><h4>Key Details</h4><ul><li>Occurred in hilly tracts extending from Odisha to Srikakulam and Visakhapatnam districts of Andhra Pradesh</li><li>Opposed suppression of human sacrifice, new taxes, and entry of zamindars into tribal areas</li><li>Ghumsar, Kalahandi, and other tribes joined the uprising</li><li>Rebellion ended with Chakra Bisoi's disappearance</li></ul> | | | | | | | Tribal Revolts |
1838 | | | | 1862 | | | | 1838-1862 | Faraizi Revolt | <h3>Event Summary</h3><p>A religious and social movement that supported tenant rights against zamindars in Eastern Bengal.</p><h4>Key Details</h4><ul><li>Led by Haji Shariatullah of Faridpur, later by Dudu Mian (1819-1862)</li><li>Aimed at religious, social, and political changes and opposing foreign intruders</li><li>Supported tenant cause against zamindars</li><li>Continued from 1838-1857</li><li>Many followers later joined Wahabi ranks</li></ul> | | | | | | | Revolutionary Activities |
1840 | | | | 1848 | | | | 1840s-1848 | Surat Salt Agitations | <h3>Event Summary</h3><p>A popular protest movement against British salt taxation in Surat.</p><h4>Key Details</h4><ul><li>Triggered by British raising salt duty from 50 paise to one rupee and imposing an additional salt levy</li><li>Local population attacked Europeans in 1844</li><li>A popular boycott movement emerged</li><li>Government withdrew the measure in 1848</li></ul> | | | | | | | Revolutionary Activities |
1844 | | | | | | | | | Mutiny of 34th Native Infantry | <h3>Event Summary</h3><p>A military revolt against British authorities by the 34th Native Infantry regiment.</p><h4>Key Details</h4><ul><li>Part of a series of military mutinies that occurred before the 1857 revolt</li><li>Was ruthlessly crushed by British authorities</li></ul> | | | | | | | Revolutionary Activities |
1849 | | | | | | | | | Mutiny of 22nd Native Infantry | <h3>Event Summary</h3><p>A military revolt against British authorities by the 22nd Native Infantry regiment.</p><h4>Key Details</h4><ul><li>Part of a series of military mutinies that occurred before the 1857 revolt</li><li>Was ruthlessly crushed by British authorities</li></ul> | | | | | | | Revolutionary Activities |
1850 | | | | | | | | | Mutiny of 66th Native Infantry | <h3>Event Summary</h3><p>A military revolt against British authorities by the 66th Native Infantry regiment.</p><h4>Key Details</h4><ul><li>Part of a series of military mutinies that occurred before the 1857 revolt</li><li>Was ruthlessly crushed by British authorities</li></ul> | | | | | | | Revolutionary Activities |
1852 | | | | | | | | | Mutiny of 37th Native Infantry | <h3>Event Summary</h3><p>A military revolt against British authorities by the 37th Native Infantry regiment.</p><h4>Key Details</h4><ul><li>Part of a series of military mutinies that occurred before the 1857 revolt</li><li>Was ruthlessly crushed by British authorities</li></ul> | | | | | | | Revolutionary Activities |
1855 | | | | 1856 | | | | 1855-1856 | Santhal Rebellion | <h3>Event Summary</h3><p>A major tribal uprising led by Sidhu and Kanhu brothers against British rule and exploitation in the Rajmahal area.</p><h4>Key Details</h4><ul><li>Also known as the "Hul" (liberation movement)</li><li>Caused by loss of land due to Permanent Settlement Act of 1793, heavy taxes, debt exploitation by moneylenders, and displacement</li><li>Rebels declared an autonomous area between Bhagalpur and Rajmahal</li><li>Used sajji branches for secret communication</li><li>British suppressed the rebellion with military force in 1856, burning villages and killing thousands</li><li>Sidhu and Kanhu were killed</li><li>Resulted in the creation of Santhal Pargana from districts of Bhagalpur and Birbhum</li></ul> | | | | | | | Tribal Revolts |
1858 | | | | 1895 | | | | 1858-1895 | Bokta Rising (Sardari Larai or Mukti Larai) | <h3>Event Summary</h3><p>A tribal movement in Chotanagpur to regain rights over land and against landlord harassment.</p><h4>Key Details</h4><ul><li>Lacked organization and good leadership</li><li>In early phases, tribal tenants rose against landlords</li><li>By the 1890s, the movement turned against all Europeans</li><li>Tribes used traditional weapons (bows and arrows) when constitutional methods failed</li></ul> | | | | | | | Tribal Revolts |
1764 | | | | | | | | | Sepoy Mutiny in Bengal | <h3>Event Summary</h3><p>One of the earliest military revolts against British authority in India.</p><h4>Key Details</h4><ul><li>Involved Indian soldiers (sepoys) in the Bengal army</li><li>Was ruthlessly crushed by British authorities</li></ul> | | | | | | | Revolutionary Activities |
1806 | | | | | | | | | Vellore Mutiny | <h3>Event Summary</h3><p>A significant military revolt against British religious interference in South India.</p><h4>Key Details</h4><ul><li>Sepoys protested against religious interference by the British</li><li>Rebels raised the flag of the Mysore ruler</li><li>Was ruthlessly crushed by British authorities</li></ul> | | | | | | | Revolutionary Activities |
1824 | | | | | | | | | Mutiny of 47th Native Infantry Unit | <h3>Event Summary</h3><p>A military revolt against British authorities by the 47th Native Infantry regiment.</p><h4>Key Details</h4><ul><li>Part of a series of military mutinies that occurred before the 1857 revolt</li><li>Was ruthlessly crushed by British authorities</li></ul> | | | | | | | Revolutionary Activities |
1825 | | | | | | | | | Grenadier Company Revolt in Assam | <h3>Event Summary</h3><p>A military revolt against British authorities by the Grenadier Company in Assam.</p><h4>Key Details</h4><ul><li>Part of a series of military mutinies that occurred before the 1857 revolt</li><li>Was ruthlessly crushed by British authorities</li></ul> | | | | | | | Revolutionary Activities |
1838 | | | | | | | | | Indian Regiment Mutiny at Sholapur | <h3>Event Summary</h3><p>A military revolt against British authorities by an Indian regiment stationed at Sholapur.</p><h4>Key Details</h4><ul><li>Part of a series of military mutinies that occurred before the 1857 revolt</li><li>Was ruthlessly crushed by British authorities</li></ul> | | | | | | | Revolutionary Activities |
1782 | | | | 1831 | | | | 1782-1831 | Narkelberia Uprising | <h3>Event Summary</h3><p>The first armed peasant uprising against the British, led by Mir Nithar Ali (Titu Mir).</p><h4>Key Details</h4><ul><li>Protest against beard-tax on Faraizis</li><li>Opposition to Hindu landlords and British indigo planters</li><li>Took on religious character</li><li>Merged with the Wahabi Movement</li></ul><h4>Significance</h4><p>Recognized as the first armed peasant uprising against British rule in India.</p> | | | | | | | Revolutionary Activities |
1757 |  |  |  |  |  |  |  |  | Battle of Plassey | <h3>Event Summary</h3><p>The Battle of Plassey established British colonial rule in India.</p><h4>Key Details</h4><ul><li>Marked the beginning of British colonial rule in India</li><li>Served as the historical backdrop against which the Revolt of 1857 would later emerge</li></ul><h4>Significance</h4><p>This battle established British colonial authority that would be challenged 100 years later in the Revolt of 1857.</p> |  |  |  |  |  |  | British |
1764 |  |  |  |  |  |  |  |  | Bengal Sepoy Revolt | <h3>Event Summary</h3><p>A revolt of sepoys occurred in Bengal.</p><h4>Key Details</h4><ul><li>One of the previous revolts that preceded the 1857 uprising</li><li>Demonstrated earlier instances of military discontent</li></ul><h4>Significance</h4><p>This was one of the historical precedents showing that sepoy discontent existed before the 1857 Revolt.</p> |  |  |  |  |  |  | Revolutionary Activities |
1806 |  |  |  |  |  |  |  |  | Vellore Sepoy Revolt | <h3>Event Summary</h3><p>A revolt of sepoys took place in Vellore.</p><h4>Key Details</h4><ul><li>One of the previous revolts that preceded the 1857 uprising</li><li>Demonstrated earlier instances of military discontent</li></ul><h4>Significance</h4><p>This was one of the historical precedents showing that sepoy discontent existed before the 1857 Revolt.</p> |  |  |  |  |  |  | Revolutionary Activities |
1825 |  |  |  |  |  |  |  |  | Barrackpore Sepoy Revolt | <h3>Event Summary</h3><p>A revolt of sepoys occurred in Barrackpore.</p><h4>Key Details</h4><ul><li>One of the previous revolts that preceded the 1857 uprising</li><li>Demonstrated earlier instances of military discontent</li></ul><h4>Significance</h4><p>This was one of the historical precedents showing that sepoy discontent existed before the 1857 Revolt.</p> |  |  |  |  |  |  | Revolutionary Activities |
1856 |  |  |  |  |  |  |  |  | Diminishment of Mughal Authority | <h3>Event Summary</h3><p>The authority of the Mughal Empire was significantly diminished.</p><h4>Key Details</h4><ul><li>Part of the political causes that led to the Revolt of 1857</li><li>Contributed to growing discontent against British rule</li></ul><h4>Significance</h4><p>This weakening of Mughal power was one of the political factors that contributed to the uprising in 1857.</p> |  |  |  |  |  |  | British |
1856 |  |  |  |  |  |  |  |  | Religious Disabilities Act | <h3>Event Summary</h3><p>The British passed the Religious Disabilities Act.</p><h4>Key Details</h4><ul><li>Preserved inheritance rights of converts from Hinduism</li><li>Was perceived by Indians as promoting Christian conversion</li><li>Contributed to socio-religious causes of the 1857 Revolt</li></ul><h4>Significance</h4><p>This act increased religious tensions and contributed to the growing discontent that led to the 1857 Revolt.</p> |  |  |  |  |  |  | British |
1856 |  |  |  |  |  |  |  |  | General Service Enlistment Act | <h3>Event Summary</h3><p>The British implemented the General Service Enlistment Act.</p><h4>Key Details</h4><ul><li>Required sepoys to serve anywhere they were ordered to</li><li>Violated religious beliefs of many sepoys who had restrictions on overseas travel</li><li>Added to the growing list of sepoy grievances</li></ul><h4>Significance</h4><p>This act was one of the specific military policies that contributed to sepoy discontent before the 1857 Revolt.</p> |  |  |  |  |  |  | British |
1857 | 2 |  |  |  |  |  |  |  | 19th Infantry Refuses Enfield Rifles | <h3>Event Summary</h3><p>The 19th Infantry refused to use Enfield rifles due to concerns about greased cartridges.</p><h4>Key Details</h4><ul><li>Early sign of the brewing revolt</li><li>Soldiers refused to use rifles that required biting cartridges greased with animal fat</li><li>Violation of religious taboos for both Hindus and Muslims</li></ul><h4>Significance</h4><p>This was one of the first concrete actions showing sepoy resistance before the full revolt began.</p> |  |  |  |  |  |  | Revolutionary Activities |
1857 | 4 | 8 |  |  |  |  |  |  | Execution of Mangal Pande | <h3>Event Summary</h3><p>Mangal Pande was executed for his role in early resistance against the British.</p><h4>Key Details</h4><ul><li>Early sign of the brewing revolt</li><li>Pande was executed for his resistance to British authority</li><li>Occurred approximately one month before the main revolt began</li></ul><h4>Significance</h4><p>This execution was one of the events that heightened tensions before the main outbreak of the revolt.</p> |  |  |  |  |  |  | Revolutionary Activities |
1857 | 5 | 9 |  |  |  |  |  |  | Imprisonment of 85 Cavalry Soldiers | <h3>Event Summary</h3><p>85 cavalry soldiers were imprisoned for refusing to use the greased cartridges.</p><h4>Key Details</h4><ul><li>Immediate precursor to the outbreak of the revolt</li><li>Soldiers were imprisoned for refusing to use cartridges they believed violated their religious beliefs</li><li>Occurred the day before the main revolt began</li></ul><h4>Significance</h4><p>This imprisonment was the direct catalyst that triggered the outbreak of the Revolt of 1857 the following day.</p> |  |  |  |  |  |  | Revolutionary Activities |
1857 | 5 | 10 |  | 1859 |  |  |  |  | Beginning of the Revolt of 1857 | <h3>Event Summary</h3><p>The Revolt of 1857 began in Meerut when imprisoned soldiers were freed by their comrades.</p><h4>Key Details</h4><ul><li>Imprisoned soldiers were freed by their comrades</li><li>Rebels marched to Delhi after freeing the prisoners</li><li>Spread from Punjab to Narmada, and from Bihar to Rajputana</li><li>Major uprising against British colonial rule</li><li>Affected all sections of society</li></ul><h4>Significance</h4><p>This was the beginning of what some historians call the "First War of Independence" and what the British termed a "Sepoy Mutiny," a major challenge to British rule in India.</p> |  |  |  |  |  |  | Freedom Movement |
1857 | 6 | 27 |  |  |  |  |  |  | Nana Saheb Expels British from Kanpur | <h3>Event Summary</h3><p>Nana Saheb successfully expelled the British from Kanpur and proclaimed himself Peshwa.</p><h4>Key Details</h4><ul><li>Nana Saheb was the adopted son of the last peshwa who had been banished from Pune</li><li>Successfully drove British forces out of Kanpur</li><li>Proclaimed himself Peshwa after taking control</li><li>Established himself as one of the key leaders of the revolt</li></ul><h4>Significance</h4><p>This was a significant victory for the rebels and established Kanpur as one of the storm centers of the revolt.</p> |  |  |  |  |  |  | Freedom Movement |
1857 | 7 |  |  |  |  |  |  |  | Death of Shah Mal | <h3>Event Summary</h3><p>Shah Mal, a grassroots leader of the revolt, was killed.</p><h4>Key Details</h4><ul><li>Shah Mal had organized 84 villages into "Chaurasi Desh"</li><li>Led attacks on British infrastructure</li><li>Established a justice system in areas under his control</li><li>Was killed in July 1857</li></ul><h4>Significance</h4><p>His death represented the loss of an important grassroots leader who had successfully organized rural resistance against the British.</p> |  |  |  |  |  |  | Freedom Movement |
1857 | 9 | 20 |  |  |  |  |  |  | British Capture of Delhi | <h3>Event Summary</h3><p>British forces captured Delhi, a major center of the revolt.</p><h4>Key Details</h4><ul><li>Delhi had been a symbolic center of the revolt</li><li>Bahadur Shah Zafar was captured and later exiled to Rangoon</li><li>Royal princes were executed by Lieutenant Hudson</li><li>The Mughal dynasty was effectively extinguished</li></ul><h4>Significance</h4><p>This was a major blow to the revolt as it represented the fall of its symbolic center and the capture of its figurehead leader.</p> |  |  |  |  |  |  | British |
1858 | 3 |  |  |  |  |  |  |  | British Recovery of Lucknow | <h3>Event Summary</h3><p>British forces recaptured Lucknow from rebel control.</p><h4>Key Details</h4><ul><li>Lucknow had been a major center of the revolt</li><li>Begum Hazrat Mahal had established an administration there with her son Birjis Qadir as nawab</li><li>The British recovery of the city was a significant setback for the rebels</li></ul><h4>Significance</h4><p>This represented the fall of another major rebel stronghold as British forces gradually regained control.</p> |  |  |  |  |  |  | British |
1858 | 6 |  |  |  |  |  |  |  | British Recapture of Gwalior | <h3>Event Summary</h3><p>British forces recaptured Gwalior from rebel control.</p><h4>Key Details</h4><ul><li>Rani Laxmibai of Jhansi had joined forces with Tantia Tope and marched to Gwalior</li><li>The Scindia ruler had sided with the British</li><li>The recapture marked another significant defeat for the rebels</li></ul><h4>Significance</h4><p>This represented another major setback for the rebel forces as the British continued to regain control of rebel-held territories.</p> |  |  |  |  |  |  | British |
1858 | 11 | 1 |  |  |  |  |  |  | Queen Victoria's Proclamation | <h3>Event Summary</h3><p>Queen Victoria issued a proclamation following the transfer of power from the East India Company to the British Crown.</p><h4>Key Details</h4><ul><li>Promised religious freedom to all Indians</li><li>Guaranteed equal protection under the law</li><li>Pledged an end to territorial annexations</li><li>Followed the passage of the Better Government of India Act</li></ul><h4>Significance</h4><p>This proclamation represented a significant shift in British policy following the revolt, attempting to address some of the grievances that had led to the uprising.</p> |  |  |  |  |  |  | Constitutional Development |
1858 |  |  |  |  |  |  |  |  | Better Government of India Act | <h3>Event Summary</h3><p>The British Parliament passed the Better Government of India Act, transferring power from the East India Company to the British Crown.</p><h4>Key Details</h4><ul><li>Transferred power from the East India Company to the British Crown</li><li>Queen Victoria was declared sovereign of India</li><li>The Governor General became known as the "Viceroy"</li><li>A Secretary of State for India was appointed in the British cabinet</li></ul><h4>Significance</h4><p>This act represented a fundamental administrative transformation in how India was governed following the revolt.</p> |  |  |  |  |  |  | Constitutional Development |
1861 |  |  |  |  |  |  |  |  | Army Amalgamation Scheme | <h3>Event Summary</h3><p>The British implemented the Army Amalgamation Scheme to reorganize military forces in India.</p><h4>Key Details</h4><ul><li>Transferred European troops to Crown service</li><li>Part of broader military reorganization following the revolt</li><li>Led to the "White Mutiny" when European soldiers protested the transfer</li></ul><h4>Significance</h4><p>This scheme was part of the military reforms implemented by the British following the revolt to prevent future uprisings.</p> |  |  |  |  |  |  | British |
1861 |  |  |  |  |  |  |  |  | Indian Civil Service Act | <h3>Event Summary</h3><p>The British passed the Indian Civil Service Act.</p><h4>Key Details</h4><ul><li>Promised equality in civil service</li><li>In practice preserved British dominance in administration</li><li>Part of the political shifts following the 1857 Revolt</li></ul><h4>Significance</h4><p>This act was part of the administrative reforms implemented after the revolt, though it maintained British control while giving the appearance of reform.</p> |  |  |  |  |  |  | Constitutional Development |
